Year,Treatment,Rep,Response
1995,Treatment 2,2,5.787200741998744
1996,Treatment 2,2,21.261888173753523
1997,Treatment 2,2,-0.8492445166754568
1998,Treatment 2,2,12.696056328057727
1999,Treatment 2,2,1.2910189749053789
2000,Treatment 2,2,10.3921178582
2001,Treatment 2,2,9.985068207156559
2002,Treatment 2,2,30.933848887577152
2003,Treatment 2,2,25.69259476681983
2004,Treatment 2,2,0.833387860934371
2005,Treatment 2,2,23.6538747088642
2006,Treatment 2,2,4.666848032282694
2007,Treatment 2,2,9.144499627653268
2008,Treatment 2,2,-1.8742118240532122
2009,Treatment 2,2,5.697340829610736
2010,Treatment 2,2,13.244914715446198
2011,Treatment 2,2,17.82185079465145
2012,Treatment 2,2,15.982524043821634
2013,Treatment 2,2,5.070676534683097
2014,Treatment 2,2,10.291057995056725
2015,Treatment 2,2,13.447119731615855
2016,Treatment 2,2,4.15435629613726
2017,Treatment 2,2,6.99704553969595
2018,Treatment 2,2,6.266265589760266
2019,Treatment 2,2,30.744275137946858
2020,Treatment 2,2,18.39172809293081
2021,Treatment 2,2,6.455885662353888
2022,Treatment 2,2,15.155758940922285
2023,Treatment 2,2,20.974834508665847
1950,Control,3,23.94449373285121
1951,Control,3,27.909573875124842
1952,Control,3,32.060540979554816
1953,Control,3,19.02115793004785
1954,Control,3,10.895517653165903
1955,Control,3,8.458728326758864
1956,Control,3,20.03617279001041
1957,Control,3,4.575363420979524
1958,Control,3,7.4172575166758445
1959,Control,3,16.687401379685568
1960,Control,3,15.952005125472652
1961,Control,3,24.736335971709565
1962,Control,3,9.100495627583108
1963,Control,3,2.576934206457967
1964,Control,3,13.292133916411768
1965,Control,3,19.499339401326466
1966,Control,3,14.902091336758456
1967,Control,3,20.025319518477403
1968,Control,3,24.1301697236935
1969,Control,3,26.569100745681475
1970,Control,3,14.834047052482056
1971,Control,3,21.43164275312376
1972,Control,3,8.742707254788693
1973,Control,3,-1.8029915731997654
1974,Control,3,0.762744643375294
1975,Control,3,18.659745821887782
1976,Control,3,12.100946340920697
1977,Control,3,15.084526166365931
1978,Control,3,16.140253462924303
1979,Control,3,19.22039555732747
1980,Control,3,10.186825758295742
1981,Control,3,2.2981759604616254
1982,Control,3,17.558723416591828
1983,Control,3,11.698970796713592
1984,Control,3,14.320131386673054
1985,Control,3,16.146238905111485
1986,Control,3,14.921150886831619
1987,Control,3,19.479969265036054
1988,Control,3,15.072950253033722
1989,Control,3,32.88242228421666
1990,Control,3,19.010810313347186
1991,Control,3,22.248458542323974
1992,Control,3,12.31966843493516
1993,Control,3,5.593457458677289
1994,Control,3,22.751443741925197
1995,Control,3,19.131238267930634
1996,Control,3,16.58602464259124
1997,Control,3,10.485834082798373
1998,Control,3,7.3185664933755605
1999,Control,3,21.98573440486519
2000,Control,3,12.814754786191155
2001,Control,3,21.239698228718687
2002,Control,3,9.296663660480089
2003,Control,3,20.11963183465535
2004,Control,3,18.27504652597157
2005,Control,3,9.556163651317018
2006,Control,3,11.186005167391434
2007,Control,3,15.915221307913821
2008,Control,3,9.22998122087197
2009,Control,3,17.96716543740634
2010,Control,3,16.221109445527087
2011,Control,3,11.83668514645022
2012,Control,3,9.004628557667097
2013,Control,3,19.25294928366023
2014,Control,3,6.043483277628036
2015,Control,3,18.363499092570954
2016,Control,3,16.292322190067033
2017,Control,3,4.291993561606374
2018,Control,3,19.862483568443587
2019,Control,3,18.2123391739196
2020,Control,3,8.866971203078855
2021,Control,3,19.806659256240206
2022,Control,3,9.292124250687664
2023,Control,3,21.751807532109176
1950,Treatment 1,3,13.389565965224653
1951,Treatment 1,3,16.164309222223253
1952,Treatment 1,3,16.401031067302153
1953,Treatment 1,3,19.329514248016572
1954,Treatment 1,3,11.871532909557446
1955,Treatment 1,3,16.360010883738386
1956,Treatment 1,3,16.552230125695093
1957,Treatment 1,3,17.90234131686767
1958,Treatment 1,3,-0.9498571832753022
1959,Treatment 1,3,25.90525756972336
1960,Treatment 1,3,2.383633938945202
1961,Treatment 1,3,11.112080351096985
1962,Treatment 1,3,13.875186266854618
1963,Treatment 1,3,1.5999007720903204
1964,Treatment 1,3,23.315637984793376
1965,Treatment 1,3,25.702257510415215
1966,Treatment 1,3,-3.8902268923521426
1967,Treatment 1,3,19.61072447111473
1968,Treatment 1,3,15.625815515485519
1969,Treatment 1,3,22.973919902224164
1970,Treatment 1,3,16.00419559168558
1971,Treatment 1,3,19.32306169177642
1972,Treatment 1,3,24.710901456910097
1973,Treatment 1,3,32.34896832019665
1974,Treatment 1,3,5.5000438771664975
1975,Treatment 1,3,16.782868002391034
1976,Treatment 1,3,9.844981859276823
1977,Treatment 1,3,20.53762495748574
1978,Treatment 1,3,8.529589842144432
1979,Treatment 1,3,15.058976691634754
1980,Treatment 1,3,7.714008205579794
1981,Treatment 1,3,22.14243900884085
1982,Treatment 1,3,23.354698903928693
1983,Treatment 1,3,10.882211212397394
1984,Treatment 1,3,26.271970530088744
1985,Treatment 1,3,12.491473939716567
1986,Treatment 1,3,19.66012545013808
1987,Treatment 1,3,13.505982455050372
1988,Treatment 1,3,19.270604318294836
1989,Treatment 1,3,19.413366336069892
1990,Treatment 1,3,7.891819597696196
1991,Treatment 1,3,24.04431020490778
1992,Treatment 1,3,3.562298620763663
1993,Treatment 1,3,10.433136836243698
1994,Treatment 1,3,24.527730265647342
1995,Treatment 1,3,17.859578601014118
1996,Treatment 1,3,15.112186866984503
1997,Treatment 1,3,9.195725370805517
1998,Treatment 1,3,9.54307280947024
1999,Treatment 1,3,14.373798085050845
2000,Treatment 1,3,19.805417913963034
2001,Treatment 1,3,20.458765738022322
2002,Treatment 1,3,-0.06525039803342736
2003,Treatment 1,3,4.373131582722976
2004,Treatment 1,3,13.420056588701533
2005,Treatment 1,3,8.495321274814597
2006,Treatment 1,3,10.941810658760142
2007,Treatment 1,3,17.82905767627466
2008,Treatment 1,3,9.686777862616443
2009,Treatment 1,3,12.44376299722375
2010,Treatment 1,3,-2.6728544267244416
2011,Treatment 1,3,22.397666793899283
2012,Treatment 1,3,24.75860134935685
2013,Treatment 1,3,6.862599968771141
2014,Treatment 1,3,13.600389318166666
2015,Treatment 1,3,16.105620896217644
2016,Treatment 1,3,33.75665495422234
2017,Treatment 1,3,11.084508419023377
2018,Treatment 1,3,21.426602823489446
2019,Treatment 1,3,21.80989764406574
2020,Treatment 1,3,15.125828916354935
2021,Treatment 1,3,17.004959322024085
2022,Treatment 1,3,5.649608871885219
2023,Treatment 1,3,30.85961300944063
1950,Treatment 2,3,10.499078533838116
1951,Treatment 2,3,8.753140988647704
1952,Treatment 2,3,7.736376069852942
1953,Treatment 2,3,28.66399255092483
1954,Treatment 2,3,17.207926777977995
1955,Treatment 2,3,16.793877342155184
1956,Treatment 2,3,18.85403918518306
1957,Treatment 2,3,24.210229379894667
1958,Treatment 2,3,8.677822168219425
1959,Treatment 2,3,24.672910257330177
1960,Treatment 2,3,22.91592355130857
1961,Treatment 2,3,20.69107144796903
1962,Treatment 2,3,25.67169510769424
1963,Treatment 2,3,22.194323906680953
1964,Treatment 2,3,10.634061620289117
1965,Treatment 2,3,11.156334585975461
1966,Treatment 2,3,13.20249966952623
1967,Treatment 2,3,7.877399716624562
1968,Treatment 2,3,9.067581177309485
1969,Treatment 2,3,14.314083012295239
1970,Treatment 2,3,9.775313966157412
1971,Treatment 2,3,2.9199661419551752
1972,Treatment 2,3,14.229279295529214
1973,Treatment 2,3,8.7149237496156
1974,Treatment 2,3,15.792081822807056
1975,Treatment 2,3,21.913880451917283
1976,Treatment 2,3,19.294942339672794
1977,Treatment 2,3,23.844839195400667
1978,Treatment 2,3,28.55825379368634
1979,Treatment 2,3,12.114718828130705
1980,Treatment 2,3,12.680205594578432
1981,Treatment 2,3,17.8536399108244
1982,Treatment 2,3,22.09171606301138
1983,Treatment 2,3,19.79222252613822
1984,Treatment 2,3,11.508110852914358
1985,Treatment 2,3,10.91867697642426
1986,Treatment 2,3,8.803362747933214
1987,Treatment 2,3,11.018589647264555
1988,Treatment 2,3,15.118809652050992
1989,Treatment 2,3,3.977291205697041
1990,Treatment 2,3,26.82605202290529
1991,Treatment 2,3,13.191495954710678
1992,Treatment 2,3,12.08169256920419
1993,Treatment 2,3,26.919168354544276
1994,Treatment 2,3,7.832798702382383
1995,Treatment 2,3,16.76083976012135
1996,Treatment 2,3,17.230279500214465
1997,Treatment 2,3,7.354705418154629
1998,Treatment 2,3,15.412944166871883
1999,Treatment 2,3,12.933236482864775
2000,Treatment 2,3,18.467076696801026
2001,Treatment 2,3,18.0443618866231
2002,Treatment 2,3,2.975476659300673
2003,Treatment 2,3,5.864222881552397
2004,Treatment 2,3,23.446404404653517
2005,Treatment 2,3,12.318196277191028
2006,Treatment 2,3,12.486046638840211
2007,Treatment 2,3,12.720509918092759
2008,Treatment 2,3,9.23415050064132
2009,Treatment 2,3,25.868808484457013
2010,Treatment 2,3,19.794171161744842
2011,Treatment 2,3,5.139716413268081
2012,Treatment 2,3,20.202961380302057
2013,Treatment 2,3,22.83528288471276
2014,Treatment 2,3,9.790370892845239
2015,Treatment 2,3,7.141377573601387
2016,Treatment 2,3,7.396844983700344
2017,Treatment 2,3,15.866383991129764
2018,Treatment 2,3,12.636325999257993
2019,Treatment 2,3,26.8193686027957
2020,Treatment 2,3,17.250676576771536
2021,Treatment 2,3,13.926497882549388
2022,Treatment 2,3,21.786288750289856
2023,Treatment 2,3,22.215027900876194
1950,Control,4,18.664186185885224
1951,Control,4,21.261480455112594
1952,Control,4,14.07309291870111
1953,Control,4,18.63744106208468
1954,Control,4,24.929063171661575
1955,Control,4,26.47699728412469
1956,Control,4,2.26759574355847
1957,Control,4,14.954338180263523
1958,Control,4,23.257056706635936
1959,Control,4,19.741849681740998
1960,Control,4,7.2548889580392535
1961,Control,4,6.6916245987921155
1962,Control,4,21.452889928546906
1963,Control,4,14.06234469727885
1964,Control,4,7.034351326249747
1965,Control,4,11.836999264465668
1966,Control,4,20.540422335859223
1967,Control,4,26.5008010126296
1968,Control,4,0.2486658028022024
1969,Control,4,9.978042004181512
1970,Control,4,17.46184857088197
1971,Control,4,24.63236914964955
1972,Control,4,20.423399346237883
1973,Control,4,1.306678362330862
1974,Control,4,12.809363635184555
1975,Control,4,33.99956624370678
1976,Control,4,26.179575900673946
1977,Control,4,15.65988036536169
1978,Control,4,28.066564134359886
1979,Control,4,11.177560802817418
1980,Control,4,8.430173291078608
1981,Control,4,5.201574758052047
1982,Control,4,16.726431885361748
1983,Control,4,5.791000787286302
1984,Control,4,12.238977280170904
1985,Control,4,18.3699611856836
1986,Control,4,25.74007048494782
1987,Control,4,7.907330983618047
1988,Control,4,9.862057697589075
1989,Control,4,12.96952063916698
1990,Control,4,-4.851611124827592
1991,Control,4,-5.896719926008693
1992,Control,4,23.360397853448365
1993,Control,4,14.077139395792434
1994,Control,4,21.071838047209376
1995,Control,4,11.353022726912918
1996,Control,4,18.876094602930667
1997,Control,4,15.999368583685502
1998,Control,4,13.803587440214034
1999,Control,4,24.172063285429353
2000,Control,4,17.28232894813123
2001,Control,4,6.843649051605398
2002,Control,4,8.141384204355482
2003,Control,4,5.358093204516793
2004,Control,4,-2.629618035772662
2005,Control,4,10.14490447314633
2006,Control,4,13.747025439000263
2007,Control,4,11.516057593251976
2008,Control,4,8.768164324845525
2009,Control,4,19.154412279112602
2010,Control,4,21.13084202567951
2011,Control,4,11.81147755921544
2012,Control,4,14.188651439146074
2013,Control,4,21.01849857405944
2014,Control,4,12.156475384510962
2015,Control,4,26.320420992811254
2016,Control,4,24.977652246762325
2017,Control,4,10.211553048193132
2018,Control,4,21.022860543993026
2019,Control,4,9.400578443836153
2020,Control,4,21.271098318699543
2021,Control,4,24.984302240569683
2022,Control,4,16.037139130353257
2023,Control,4,8.758793013090823
1950,Treatment 1,4,19.744421427979788
1951,Treatment 1,4,10.272505953791416
1952,Treatment 1,4,-0.45390373398099726
1953,Treatment 1,4,15.012214378109803
1954,Treatment 1,4,11.697444372645876
1955,Treatment 1,4,3.3753585801894364
1956,Treatment 1,4,-0.17292312003114674
1957,Treatment 1,4,10.439074962643698
1958,Treatment 1,4,26.648035601838018
1959,Treatment 1,4,9.352681461229476
1960,Treatment 1,4,13.000776123288913
1961,Treatment 1,4,12.154772815745243
1962,Treatment 1,4,5.99562361032992
